% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,-2.82561131251,2,241
2,-4.01351496266,4,241
3,-3.00755549723,7,241
4,-0.832973011196,9,241
5,3.93767481608,12,241
6,7.71003743599,14,241
7,11.6958142011,16,241
8,17.7774733849,19,241
9,21.7989887646,21,241
10,27.6950026211,24,241
11,31.4705709671,26,241
12,35.027967639,28,241
13,39.684704682,31,241
14,42.1367212423,33,241
15,44.5824137532,36,241
16,45.3700638294,38,241
17,45.5915327454,40,241
18,45.3135105095,43,241
19,45.1135148558,45,241
20,45.4545454683,48,241
21,46.3773909844,50,241
22,48.9140631956,53,241
23,51.2180234854,55,241
24,53.7692593859,57,241
25,57.5226348968,60,241
26,59.6836877409,62,241
27,62.2103077289,65,241
28,63.5148290551,67,241
29,64.7260201022,69,241
30,66.8970648147,72,241
31,68.9020991844,74,241
32,73.0465573478,77,241
33,76.5326836476,79,241
34,80.419205944,81,241
35,86.45230369,84,241
36,90.2099590056,86,241
37,94.8794122481,89,241
38,97.1588735129,91,241
39,98.7451334173,93,241
40,100.000000023,96,241
41,100.286324649,98,241
42,100.269549226,101,241
43,100.145210005,103,241
44,99.9842223616,106,241
45,99.936462917,108,241
46,99.933258093,110,241
47,99.9710441071,113,241
48,99.9978442192,115,241
49,100.016723655,118,241
50,100.015298282,120,241
51,100.008521985,122,241
52,99.9996343054,125,241
53,99.9980291495,127,241
54,100.000016311,130,241
55,100.001107767,132,241
56,100.000370759,134,241
57,99.996728132,137,241
58,99.9948570195,139,241
59,99.9962696444,142,241
60,99.9999999915,144,241
61,100.006090322,147,241
62,100.007686353,149,241
63,100.006046367,151,241
64,99.9988906223,154,241
65,99.9937904371,156,241
66,99.9909876256,159,241
67,99.9937634914,161,241
68,99.9993633971,163,241
69,100.00806618,166,241
70,100.01047846,168,241
71,100.006107016,171,241
72,99.9992560461,173,241
73,99.9922215993,175,241
74,99.9875857716,178,241
75,99.9907528067,180,241
76,100.002740683,183,241
77,100.011131374,185,241
78,100.015635878,187,241
79,100.010476659,190,241
80,99.9999999987,192,241
81,99.9828198141,195,241
82,99.9775806422,197,241
83,99.9870957969,200,241
84,100.003730325,202,241
85,100.022567774,204,241
86,100.037596199,207,241
87,100.028933547,209,241
88,99.9857744058,212,241
89,99.9484714316,214,241
90,99.9220605119,216,241
91,99.9411576784,219,241
92,100.008721298,221,241
93,100.171050058,224,241
94,100.264434744,226,241
95,100.264713541,228,241
96,99.8663064112,231,241
97,99.1555884041,233,241
98,97.1013836251,236,241
99,94.9090177128,238,241
