% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,8.32897719756,7,791
2,17.808394471,15,791
3,26.796795896,23,791
4,33.5193571815,31,791
5,39.8617730588,39,791
6,44.8209771316,47,791
7,45.9955046818,55,791
8,48.2980164077,63,791
9,53.0655701684,71,791
10,57.1428571431,79,791
11,60.5353379079,87,791
12,61.4392438323,94,791
13,60.9791996917,102,791
14,62.7793626837,110,791
15,64.8461131427,118,791
16,66.6447592277,126,791
17,69.9650528821,134,791
18,72.1872725756,142,791
19,72.8093979305,150,791
20,72.727272727,158,791
21,72.5715554097,166,791
22,73.6117414396,174,791
23,74.1304521007,181,791
24,74.0553602531,189,791
25,75.1917327837,197,791
26,78.1476229391,205,791
27,81.2559667891,213,791
28,81.7632854737,221,791
29,82.0204414115,229,791
30,83.1168831162,237,791
31,84.0538448363,245,791
32,85.5657490705,253,791
33,85.4365731108,261,791
34,86.0231663861,268,791
35,88.2371266656,276,791
36,88.3170892804,284,791
37,88.999890376,292,791
38,89.723043264,300,791
39,89.7418480941,308,791
40,90.9090909083,316,791
41,90.9135860675,324,791
42,91.6000828069,332,791
43,92.4719830153,340,791
44,92.1194124716,348,791
45,92.2043069523,355,791
46,92.0828714826,363,791
47,93.4144425131,371,791
48,95.731330202,379,791
49,96.0596394152,387,791
50,96.1038961036,395,791
51,96.1572986299,403,791
52,96.0258652624,411,791
53,96.1758118873,419,791
54,96.0593255903,427,791
55,96.1130785079,435,791
56,96.1402885162,442,791
57,96.0562697098,450,791
58,96.1464697315,458,791
59,96.0791511902,466,791
60,96.1038961039,474,791
61,96.1287220145,482,791
62,96.0609373741,490,791
63,96.1524793499,498,791
64,96.0660494524,506,791
65,96.1138930505,514,791
66,96.1355366484,522,791
67,96.0163800943,529,791
68,96.2127189621,537,791
69,96.0081664767,545,791
70,96.1038961041,553,791
71,97.2180421737,561,791
72,97.5091857202,569,791
73,97.3603241146,577,791
74,97.4028164634,585,791
75,97.4086547209,593,791
76,97.439901231,601,791
77,97.2424541894,609,791
78,97.8623548585,616,791
79,98.8327242945,624,791
80,98.7012987016,632,791
81,98.6626418524,640,791
82,98.7361434175,648,791
83,98.6889906998,656,791
84,98.6933808249,664,791
85,98.7076850202,672,791
86,98.7368686002,680,791
87,98.5486450675,688,791
88,99.3005800627,696,791
89,100.140526759,703,791
90,100.0,711,791
91,99.947243789,719,791
92,100.06332524,727,791
93,99.9511919031,735,791
94,100.023562066,743,791
95,99.9973267025,751,791
96,100.004335568,759,791
97,99.939602376,767,791
98,100.267245159,775,791
99,98.8148061486,783,791
