% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,20.3006222684,54,5495
2,29.4586524177,109,5495
3,34.7212094958,164,5495
4,38.8729599058,219,5495
5,39.6091391581,274,5495
6,48.0167007566,329,5495
7,52.070684364,384,5495
8,57.251325848,439,5495
9,61.5658813244,494,5495
10,62.9165074974,549,5495
11,64.7936466449,604,5495
12,70.3382903091,659,5495
13,74.8493383939,714,5495
14,75.9309712583,769,5495
15,76.0456693578,824,5495
16,77.7785279766,879,5495
17,79.75300753,934,5495
18,79.6306733283,989,5495
19,79.5756271604,1044,5495
20,81.499559807,1099,5495
21,85.4794280425,1153,5495
22,85.2101708805,1208,5495
23,86.9494810197,1263,5495
24,87.04245454,1318,5495
25,87.0522628766,1373,5495
26,87.0350713176,1428,5495
27,87.0094524978,1483,5495
28,87.0519293638,1538,5495
29,91.0645671118,1593,5495
30,92.5964995936,1648,5495
31,92.6103257208,1703,5495
32,92.5924212184,1758,5495
33,92.5899820601,1813,5495
34,92.5925833953,1868,5495
35,92.592083712,1923,5495
36,92.5924822366,1978,5495
37,92.598395597,2033,5495
38,92.5939081021,2088,5495
39,92.5473221611,2143,5495
40,94.4955572497,2198,5495
41,94.3516048627,2252,5495
42,96.2336704333,2307,5495
43,96.2631403023,2362,5495
44,96.29699554,2417,5495
45,96.285128112,2472,5495
46,96.2996336026,2527,5495
47,97.182468742,2582,5495
48,98.1499212621,2637,5495
49,98.1646096282,2692,5495
50,98.1481481479,2747,5495
51,98.1455064,2802,5495
52,98.1481077226,2857,5495
53,98.1485815208,2912,5495
54,98.148161299,2967,5495
55,98.1480820266,3022,5495
56,98.1481463165,3077,5495
57,98.1481284298,3132,5495
58,98.1481371251,3187,5495
59,98.1483358674,3242,5495
60,98.1482369308,3297,5495
61,98.1470057659,3351,5495
62,98.1483973576,3406,5495
63,98.1551436592,3461,5495
64,98.1472558052,3516,5495
65,98.0960348255,3571,5495
66,99.9948438072,3626,5495
67,99.9583381752,3681,5495
68,99.9996239568,3736,5495
69,100.005946527,3791,5495
70,100.000151381,3846,5495
71,99.9990263732,3901,5495
72,99.9999601697,3956,5495
73,100.000159743,4011,5495
74,100.000009007,4066,5495
75,99.9999738263,4121,5495
76,99.9999981155,4176,5495
77,100.000004282,4231,5495
78,100.000000376,4286,5495
79,99.9999993005,4341,5495
80,99.9999999274,4396,5495
81,100.00000012,4450,5495
82,99.9999999988,4505,5495
83,99.9999999832,4560,5495
84,100.0,4615,5495
85,99.999999985,4670,5495
86,99.9999999978,4725,5495
87,100.00000011,4780,5495
88,100.000000024,4835,5495
89,99.999999329,4890,5495
90,99.9999997913,4945,5495
91,100.000004055,5000,5495
92,100.000001644,5055,5495
93,99.9999755333,5110,5495
94,99.9999877432,5165,5495
95,100.000147476,5220,5495
96,100.000088388,5275,5495
97,99.9990963063,5330,5495
98,99.9993066453,5385,5495
99,100.01110228,5440,5495
