% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,2.08694793919,19,1911
2,6.26718968871,38,1911
3,6.31796718986,57,1911
4,11.3091670541,76,1911
5,20.5042126388,95,1911
6,27.8574611919,114,1911
7,33.1722039815,133,1911
8,32.933194971,152,1911
9,39.6578689678,171,1911
10,46.4566877527,191,1911
11,47.9268095282,210,1911
12,49.9468146107,229,1911
13,56.1765716833,248,1911
14,60.6096295341,267,1911
15,66.7860687391,286,1911
16,71.3909381697,305,1911
17,76.9634798227,324,1911
18,77.8188023378,343,1911
19,77.9216390691,363,1911
20,82.0631260872,382,1911
21,84.1522992115,401,1911
22,86.9123761458,420,1911
23,86.7344872017,439,1911
24,91.393709073,458,1911
25,91.3215273423,477,1911
26,93.3093981631,496,1911
27,95.2252691211,515,1911
28,97.3009249816,535,1911
29,97.7242306156,554,1911
30,99.0005480329,573,1911
31,99.7291548878,592,1911
32,99.8510379258,611,1911
33,99.9148937273,630,1911
34,99.9546821731,649,1911
35,99.9795513291,668,1911
36,99.9942305683,687,1911
37,99.9954327393,707,1911
38,100.000899699,726,1911
39,100.003364977,745,1911
40,100.004032008,764,1911
41,100.003742204,783,1911
42,100.003040084,802,1911
43,100.002247221,821,1911
44,100.001530579,840,1911
45,100.000958272,859,1911
46,100.00065939,879,1911
47,100.000377466,898,1911
48,100.000186181,917,1911
49,100.000066933,936,1911
50,100.0,955,1911
51,99.9999680929,974,1911
52,99.9999576918,993,1911
53,99.9999591101,1012,1911
54,99.9999659487,1031,1911
55,99.9999773113,1051,1911
56,99.9999827231,1070,1911
57,99.9999879054,1089,1911
58,99.9999921968,1108,1911
59,99.9999954168,1127,1911
60,99.9999976413,1146,1911
61,99.9999990577,1165,1911
62,99.9999998789,1184,1911
63,100.000000298,1203,1911
64,100.00000018,1223,1911
65,100.000000327,1242,1911
66,100.000000396,1261,1911
67,100.000000444,1280,1911
68,100.000000509,1299,1911
69,100.000000608,1318,1911
70,100.000000737,1337,1911
71,100.000000868,1356,1911
72,100.000000936,1375,1911
73,100.000001413,1395,1911
74,100.000001308,1414,1911
75,100.000000696,1433,1911
76,99.9999992023,1452,1911
77,99.9999963269,1471,1911
78,99.9999914585,1490,1911
79,99.9999839464,1509,1911
80,99.9999732626,1528,1911
81,99.9999593032,1547,1911
82,99.9999399911,1567,1911
83,99.9999149819,1586,1911
84,99.9998893986,1605,1911
85,99.9998706994,1624,1911
86,99.9998723544,1643,1911
87,99.9999161908,1662,1911
88,100.000034689,1681,1911
89,100.000272492,1700,1911
90,100.00068591,1719,1911
91,100.000969027,1739,1911
92,100.001935866,1758,1911
93,100.003377483,1777,1911
94,100.005410276,1796,1911
95,100.008181424,1815,1911
96,100.012004809,1834,1911
97,100.017890676,1853,1911
98,100.029876249,1872,1911
99,100.071511707,1891,1911
