% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,8.66215589548,22,2248
2,18.5923751842,44,2248
3,35.630499213,67,2248
4,43.8619763644,89,2248
5,44.0789828724,112,2248
6,44.2273039661,134,2248
7,44.4241561992,157,2248
8,47.9203422571,179,2248
9,57.1457777912,202,2248
10,56.7542839635,224,2248
11,56.6630907775,247,2248
12,63.6322552921,269,2248
13,64.7847088473,292,2248
14,72.4967981986,314,2248
15,72.2091663276,337,2248
16,72.074209484,359,2248
17,76.4355009572,382,2248
18,76.1378768499,404,2248
19,75.9951224612,427,2248
20,75.9277972787,449,2248
21,79.3380308387,472,2248
22,84.2598604657,494,2248
23,83.8882893574,517,2248
24,83.9233530059,539,2248
25,87.803727868,562,2248
26,88.0025970594,584,2248
27,88.2177409189,606,2248
28,91.9540929661,629,2248
29,92.1062231461,651,2248
30,92.0236686896,674,2248
31,91.8938945816,696,2248
32,91.9896130664,719,2248
33,95.7793193664,741,2248
34,95.835864004,764,2248
35,95.9231752409,786,2248
36,96.0014926044,809,2248
37,96.0236625088,831,2248
38,96.0247097206,854,2248
39,96.0126470131,876,2248
40,95.9993376562,899,2248
41,95.9955282207,921,2248
42,95.9955507387,944,2248
43,95.9978195526,966,2248
44,96.0001806298,989,2248
45,96.0007174207,1011,2248
46,96.0004943344,1034,2248
47,96.0000321583,1056,2248
48,96.0000583671,1079,2248
49,96.0006611356,1101,2248
50,96.0016450937,1124,2248
51,96.0018561076,1146,2248
52,96.0005650478,1168,2248
53,95.9953667307,1191,2248
54,95.9903813637,1213,2248
55,95.989911852,1236,2248
56,95.997708444,1258,2248
57,96.0267698599,1281,2248
58,96.0551526241,1303,2248
59,96.0589903944,1326,2248
60,96.0103702449,1348,2248
61,95.6412446249,1371,2248
62,100.548322204,1393,2248
63,100.109318848,1416,2248
64,100.002432868,1438,2248
65,99.9535653437,1461,2248
66,99.9627561839,1483,2248
67,99.986048613,1506,2248
68,100.000197302,1528,2248
69,100.00834125,1551,2248
70,100.006699827,1573,2248
71,100.002408532,1596,2248
72,99.9998554227,1618,2248
73,99.9984285835,1641,2248
74,99.9987699483,1663,2248
75,99.9995819316,1686,2248
76,100.000046633,1708,2248
77,100.00023343,1730,2248
78,100.000228959,1753,2248
79,100.000114181,1775,2248
80,99.9999867576,1798,2248
81,99.9999469048,1820,2248
82,99.999939653,1843,2248
83,99.9999597632,1865,2248
84,100.00001023,1888,2248
85,100.000057294,1910,2248
86,100.000110545,1933,2248
87,100.000111544,1955,2248
88,99.9999505071,1978,2248
89,99.9997235476,2000,2248
90,99.9994426709,2023,2248
91,99.9994351048,2045,2248
92,100.000315809,2068,2248
93,100.001558855,2090,2248
94,100.003064833,2113,2248
95,100.003091902,2135,2248
96,99.9977502273,2158,2248
97,99.988261401,2180,2248
98,99.9658715502,2203,2248
99,99.9007170603,2225,2248
