% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,-12.2841440963,6,626
2,11.1652594804,12,626
3,43.7301480178,18,626
4,54.6896342969,25,626
5,48.8962902224,31,626
6,48.4901958932,37,626
7,51.3117044002,43,626
8,49.8547909715,50,626
9,49.1347431261,56,626
10,50.5848986359,62,626
11,50.3244695151,68,626
12,49.3476403917,75,626
13,50.3117217993,81,626
14,50.4081591881,87,626
15,49.425875346,93,626
16,50.1621662359,100,626
17,50.5843762017,106,626
18,49.3947753762,112,626
19,49.720466481,118,626
20,50.9517086326,125,626
21,49.3037179289,131,626
22,49.2308107298,137,626
23,51.5737042027,143,626
24,49.2430076448,150,626
25,48.0422435835,156,626
26,52.8709068435,162,626
27,49.4620872478,169,626
28,43.1159347077,175,626
29,60.7021874392,181,626
30,93.9326657684,187,626
31,106.331048788,194,626
32,97.9313511467,200,626
33,97.8825280375,206,626
34,102.222738594,212,626
35,99.5649270298,219,626
36,98.7232550331,225,626
37,100.971634805,231,626
38,100.351785947,237,626
39,99.1974290385,244,626
40,100.41454216,250,626
41,100.341792134,256,626
42,99.5189875464,262,626
43,100.145767705,269,626
44,100.268336581,275,626
45,99.7487449174,281,626
46,99.9452321692,287,626
47,100.187472908,294,626
48,99.8806340459,300,626
49,99.9307553227,306,626
50,100.120382443,313,626
51,99.9515731734,319,626
52,99.9399907022,325,626
53,100.067748451,331,626
54,99.9865358025,338,626
55,99.9556061703,344,626
56,100.034070763,350,626
57,100.013297631,356,626
58,99.970174101,363,626
59,100.015215339,369,626
60,100.013240462,375,626
61,99.9816245958,381,626
62,100.005452323,388,626
63,100.010752735,394,626
64,99.9899475922,400,626
65,99.997577166,406,626
66,100.008156657,413,626
67,99.9946750915,419,626
68,99.9965620142,425,626
69,100.006462468,431,626
70,99.9972170769,438,626
71,99.995887174,444,626
72,100.005315105,450,626
73,100.000661587,456,626
74,99.9945442265,463,626
75,100.005195575,469,626
76,100.002761549,475,626
77,99.9917591723,482,626
78,100.005461114,488,626
79,100.006668282,494,626
80,99.9877875814,500,626
81,100.004986858,507,626
82,100.014124259,513,626
83,99.982452241,519,626
84,99.99385941,525,626
85,100.027656943,532,626
86,99.9765063288,538,626
87,99.9791375514,544,626
88,100.049415915,550,626
89,99.9724927404,557,626
90,99.9467186214,563,626
91,100.083015624,569,626
92,100.014410943,575,626
93,99.8675325947,582,626
94,100.151506412,588,626
95,100.107008984,594,626
96,99.582475358,600,626
97,100.42697495,607,626
98,101.006475902,613,626
99,94.8681553602,619,626
