% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,4.48498866159,1,114
2,4.9701017205,2,114
3,5.79496574544,3,114
4,6.94227756849,4,114
5,8.38655384046,5,114
6,10.0954064701,6,114
7,12.0311068953,7,114
8,16.4161830554,9,114
9,18.7798196229,10,114
10,21.2025314574,11,114
11,23.6472223051,12,114
12,26.0817734359,13,114
13,28.4800301163,14,114
14,30.822387895,15,114
15,35.294290775,17,114
16,37.4167609681,18,114
17,39.4675499007,19,114
18,41.4544249999,20,114
19,43.3873395018,21,114
20,45.2769827647,22,114
21,47.1333866894,23,114
22,50.7761675514,25,114
23,52.5695494811,26,114
24,54.3427560487,27,114
25,56.0899879957,28,114
26,57.8022079104,29,114
27,59.4679554748,30,114
28,61.0744306721,31,114
29,64.059305186,33,114
30,65.417008104,34,114
31,66.6764842047,35,114
32,67.8369403325,36,114
33,68.9027280323,37,114
34,69.8835096014,38,114
35,70.7940033835,39,114
36,72.4838711864,41,114
37,73.3100822366,42,114
38,74.1567266433,43,114
39,75.0472681753,44,114
40,76.0021684245,45,114
41,77.0373387159,46,114
42,78.1628452061,47,114
43,80.6906874566,49,114
44,82.0776540789,50,114
45,83.5246387389,51,114
46,85.0074578815,52,114
47,86.4973088328,53,114
48,87.9624338093,54,114
49,89.3700038967,55,114
50,90.6880988329,56,114
51,92.9442272274,58,114
52,93.8395229702,59,114
53,94.5624836543,60,114
54,95.1099683069,61,114
55,95.4869222978,62,114
56,95.7060491449,63,114
57,95.7870078762,64,114
58,95.6401839795,66,114
59,95.4739613083,67,114
60,95.2890202489,68,114
61,95.116492036,69,114
62,94.9843996296,70,114
63,94.9161531466,71,114
64,94.9293746208,72,114
65,95.2375182627,74,114
66,95.5338897307,75,114
67,95.9152337792,76,114
68,96.3671281798,77,114
69,96.8709167165,78,114
70,97.4051158904,79,114
71,97.9469401054,80,114
72,98.9649756073,82,114
73,99.4024692893,83,114
74,99.7724689815,84,114
75,100.065856909,85,114
76,100.278631736,86,114
77,100.411929471,87,114
78,100.471695732,88,114
79,100.414322559,90,114
80,100.326033717,91,114
81,100.219546437,92,114
82,100.110814362,93,114
83,100.014098869,94,114
84,99.9407985785,95,114
85,99.8984477044,96,114
86,99.9129993182,98,114
87,99.9599757017,99,114
88,100.017881397,100,114
89,100.068750032,101,114
90,100.090239555,102,114
91,100.05646091,103,114
92,99.9389833504,104,114
93,99.3333381207,106,114
94,98.7860319998,107,114
95,98.0391109098,108,114
96,97.0688445028,109,114
97,95.855627336,110,114
98,94.3847269766,111,114
99,92.6468345777,112,114
