% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,3.88253824898,3,316
2,8.68035650904,6,316
3,15.1382774729,9,316
4,21.5944223876,12,316
5,26.8009055296,15,316
6,30.4057299716,18,316
7,33.7781451544,22,316
8,36.5540117908,25,316
9,40.2904612531,28,316
10,44.8481187022,31,316
11,49.4487044404,34,316
12,53.2137097409,37,316
13,56.3718608459,41,316
14,57.9352447804,44,316
15,59.7781820624,47,316
16,62.5059239971,50,316
17,66.0203746274,53,316
18,69.5809990846,56,316
19,72.9162018181,60,316
20,73.9305555565,63,316
21,74.1594722316,66,316
22,74.4881700424,69,316
23,75.6263424832,72,316
24,77.6975417491,75,316
25,81.0524503323,79,316
26,83.1281727194,82,316
27,84.4089785979,85,316
28,85.0270099874,88,316
29,85.4092243522,91,316
30,85.9495862725,94,316
31,86.7747604856,97,316
32,88.0416448033,101,316
33,88.8008714155,104,316
34,89.2549476183,107,316
35,89.4424837104,110,316
36,89.4710756578,113,316
37,89.4228817523,116,316
38,89.2971278713,120,316
39,89.2096842329,123,316
40,89.2316245727,126,316
41,89.4762376836,129,316
42,89.9951881843,132,316
43,90.7298315631,135,316
44,91.8002717078,139,316
45,92.5117761136,142,316
46,93.1171881678,145,316
47,93.6825380991,148,316
48,94.2847743583,151,316
49,94.9469865316,154,316
50,95.8563363601,158,316
51,96.5041526142,161,316
52,97.1329724313,164,316
53,97.7929445412,167,316
54,98.5088424429,170,316
55,99.2275448125,173,316
56,99.8257177773,176,316
57,100.234633624,180,316
58,100.226339225,183,316
59,100.06291913,186,316
60,99.9023130879,189,316
61,99.8547031344,192,316
62,99.9271489425,195,316
63,100.070907714,199,316
64,100.103185517,202,316
65,100.049746004,205,316
66,99.9647487373,208,316
67,99.918805932,211,316
68,99.9430810605,214,316
69,100.032115021,218,316
70,100.068254159,221,316
71,100.045944951,224,316
72,99.9880092982,227,316
73,99.9438548105,230,316
74,99.948400357,233,316
75,100.013822203,237,316
76,100.053543748,240,316
77,100.047671643,243,316
78,100.001708802,246,316
79,99.9539547881,249,316
80,99.94442172,252,316
81,99.9823583874,255,316
82,100.051967722,259,316
83,100.061360196,262,316
84,100.017160612,265,316
85,99.9515168199,268,316
86,99.9194023883,271,316
87,99.9557784115,274,316
88,100.071605297,278,316
89,100.118315761,281,316
90,100.063351027,284,316
91,99.9208470521,287,316
92,99.7929303969,290,316
93,99.8200757436,293,316
94,100.204195835,297,316
95,100.571211549,300,316
96,100.564800185,303,316
97,99.5908862023,306,316
98,97.0255509035,309,316
99,92.3970861026,312,316
