% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,1.86981574198e-21,9,970
2,1.03405051257e-20,19,970
3,2.82897711693e-20,29,970
4,2.51186950707e-83,38,970
5,2.83515186433e-82,48,970
6,2.81434795414e-81,58,970
7,5.7049379161e-186,67,970
8,1.86910606271e-184,77,970
9,3.78679435186e-183,87,970
10,7.5907419681e-182,97,970
11,0.0,106,970
12,0.0,116,970
13,0.0,126,970
14,0.0,135,970
15,0.0,145,970
16,0.0,155,970
17,0.0,164,970
18,0.0,174,970
19,0.0,184,970
20,0.0,194,970
21,8.83528933939e-223,203,970
22,3.20221343011e-224,213,970
23,1.25268843297e-225,223,970
24,6.30062852223e-108,232,970
25,6.69226459531e-109,242,970
26,6.99706012478e-110,252,970
27,5.93321090987e-34,261,970
28,1.59246310444e-34,271,970
29,4.510788126e-35,281,970
30,1.25924555564e-35,291,970
31,0.542132779364,300,970
32,0.391773485267,310,970
33,0.296594252203,320,970
34,2.33213373052e-08,329,970
35,4.58625153866e-08,339,970
36,8.92353690546e-08,349,970
37,1.28151361205e-56,358,970
38,6.85808227183e-56,368,970
39,3.63125620204e-55,378,970
40,2.00801485634e-54,388,970
41,1.54117010199e-144,397,970
42,2.22064851204e-143,407,970
43,3.32409252387e-142,417,970
44,4.42665669569e-274,426,970
45,1.7357218756e-272,436,970
46,6.73378375281e-271,446,970
47,0.0,455,970
48,0.0,465,970
49,0.0,475,970
50,0.0,484,970
51,0.0,494,970
52,0.0,504,970
53,0.0,514,970
54,6.73378375281e-271,523,970
55,1.7357218756e-272,533,970
56,4.42665669569e-274,543,970
57,3.32409252387e-142,552,970
58,2.33168093767e-143,562,970
59,1.61822860711e-144,572,970
60,1.11118241559e-145,582,970
61,4.23646556907e-55,591,970
62,8.00109598392e-56,601,970
63,1.49509921407e-56,611,970
64,1.04107930563e-07,620,970
65,5.35062679507e-08,630,970
66,2.72082268561e-08,640,970
67,0.34602662757,649,970
68,0.483955481801,659,970
69,0.701583596824,669,970
70,0.96056064025,679,970
71,6.20233367318e-35,688,970
72,2.33561255318e-34,698,970
73,8.70204266781e-34,708,970
74,1.11952961996e-109,717,970
75,1.14724535917e-108,727,970
76,1.16319295795e-107,737,970
77,2.71415827144e-225,746,970
78,7.56886810754e-224,756,970
79,2.08834111651e-222,766,970
80,5.70094268176e-221,776,970
81,0.0,785,970
82,0.0,795,970
83,0.0,805,970
84,0.0,814,970
85,0.0,824,970
86,0.0,834,970
87,0.0,843,970
88,0.0,853,970
89,0.0,863,970
90,2.46699113961e-181,872,970
91,1.23070816431e-182,882,970
92,6.07459470373e-184,892,970
93,2.96656771641e-185,902,970
94,1.82932617018e-80,911,970
95,2.45713161569e-81,921,970
96,3.26543035917e-82,931,970
97,3.67767025197e-19,940,970
98,1.34426566634e-19,950,970
99,4.86152092919e-20,960,970
