% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,7.42147505897,108,10872
2,15.3106503041,217,10872
3,20.8687186423,326,10872
4,28.1912322552,434,10872
5,37.4120324422,543,10872
6,40.5748219423,652,10872
7,45.6788276428,761,10872
8,48.9949224773,869,10872
9,51.8902970906,978,10872
10,56.8309820459,1087,10872
11,57.912132503,1195,10872
12,58.6997894091,1304,10872
13,60.7306246995,1413,10872
14,62.8521175021,1522,10872
15,66.4166656484,1630,10872
16,68.3665895081,1739,10872
17,70.7692529887,1848,10872
18,72.3035440253,1956,10872
19,73.2909094553,2065,10872
20,75.3179831744,2174,10872
21,75.6136259814,2283,10872
22,79.6268031166,2391,10872
23,79.7156393282,2500,10872
24,81.1961927427,2609,10872
25,81.7014338436,2718,10872
26,83.0992884161,2826,10872
27,83.6636643838,2935,10872
28,84.4792175962,3044,10872
29,84.8664342421,3152,10872
30,86.1117694097,3261,10872
31,87.1120972391,3370,10872
32,87.1259089904,3479,10872
33,87.6242197888,3587,10872
34,87.6228181211,3696,10872
35,87.6238708854,3805,10872
36,87.6255066268,3913,10872
37,87.6028230837,4022,10872
38,88.0471919053,4131,10872
39,88.6171692235,4240,10872
40,89.1196907221,4348,10872
41,90.1020281063,4457,10872
42,90.0991506125,4566,10872
43,90.0934518417,4674,10872
44,90.815264288,4783,10872
45,91.0964345382,4892,10872
46,91.0917581924,5001,10872
47,92.6671760311,5109,10872
48,93.0593241273,5218,10872
49,94.0968240782,5327,10872
50,94.0556323298,5436,10872
51,94.5568352975,5544,10872
52,94.5781452423,5653,10872
53,95.1044745069,5762,10872
54,96.0549165042,5870,10872
55,96.029415154,5979,10872
56,96.5194951183,6088,10872
57,96.5355428114,6197,10872
58,96.5349484615,6305,10872
59,97.0041585072,6414,10872
60,97.0316143379,6523,10872
61,97.0291187091,6631,10872
62,97.0300452308,6740,10872
63,97.0280662387,6849,10872
64,97.0430832599,6958,10872
65,97.5474513984,7066,10872
66,98.0212970907,7175,10872
67,98.0197977984,7284,10872
68,98.0208590747,7392,10872
69,98.0077745005,7501,10872
70,98.5116601838,7610,10872
71,99.037107203,7719,10872
72,98.9955756122,7827,10872
73,99.4968726934,7936,10872
74,99.5056983693,8045,10872
75,99.5048960553,8154,10872
76,99.50493734,8262,10872
77,99.5049539426,8371,10872
78,99.504950064,8480,10872
79,99.5049483624,8588,10872
80,99.5049646247,8697,10872
81,99.5048699146,8806,10872
82,99.5053601605,8915,10872
83,99.5043802776,9023,10872
84,99.4906875706,9132,10872
85,99.9980636677,9241,10872
86,100.000619563,9349,10872
87,99.9998909211,9458,10872
88,100.000017581,9567,10872
89,99.9999973917,9676,10872
90,100.000000266,9784,10872
91,99.9999999757,9893,10872
92,100.0,10002,10872
93,99.9999999799,10110,10872
94,100.000000196,10219,10872
95,99.9999984442,10328,10872
96,100.000011074,10437,10872
97,99.9999342718,10545,10872
98,100.000355517,10654,10872
99,99.9981636223,10763,10872
