% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,4.87226066047,65,6531
2,9.36261839999,130,6531
3,13.9977187702,195,6531
4,17.8661330977,261,6531
5,21.1971897367,326,6531
6,25.2701216124,391,6531
7,28.2156139352,457,6531
8,31.8846124646,522,6531
9,36.2846256679,587,6531
10,39.940365528,653,6531
11,42.7614569488,718,6531
12,45.7833558314,783,6531
13,49.155370733,849,6531
14,51.9472654205,914,6531
15,54.3664714033,979,6531
16,56.0548878917,1044,6531
17,59.3973106458,1110,6531
18,60.9175797021,1175,6531
19,61.5946687813,1240,6531
20,64.8617092132,1306,6531
21,66.9697961205,1371,6531
22,69.3282308724,1436,6531
23,70.930675755,1502,6531
24,72.8215826989,1567,6531
25,73.7157428739,1632,6531
26,74.7832301727,1698,6531
27,76.1894415993,1763,6531
28,78.0916702884,1828,6531
29,79.4993285277,1893,6531
30,80.291657443,1959,6531
31,81.6116876783,2024,6531
32,83.7139981228,2089,6531
33,84.3625148403,2155,6531
34,85.4748024362,2220,6531
35,86.713543242,2285,6531
36,87.8049282808,2351,6531
37,88.6956037165,2416,6531
38,89.5474593131,2481,6531
39,90.1967452497,2547,6531
40,90.6093520227,2612,6531
41,91.3013595051,2677,6531
42,91.6763126006,2743,6531
43,92.6139398764,2808,6531
44,93.6672084312,2873,6531
45,93.9106702838,2938,6531
46,94.7918481398,3004,6531
47,94.9568008097,3069,6531
48,95.638701668,3134,6531
49,96.1713892952,3200,6531
50,96.3043478259,3265,6531
51,96.2971121666,3330,6531
52,96.5171516566,3396,6531
53,96.4917269513,3461,6531
54,96.7284450927,3526,6531
55,96.9707844497,3592,6531
56,97.2147840082,3657,6531
57,97.8177308248,3722,6531
58,97.8299119312,3787,6531
59,97.8328282853,3853,6531
60,98.0503433544,3918,6531
61,98.0450420803,3983,6531
62,98.0110361298,4049,6531
63,98.2644347294,4114,6531
64,98.7132691966,4179,6531
65,98.9011386869,4245,6531
66,99.1508431565,4310,6531
67,99.12791919,4375,6531
68,99.3745047973,4441,6531
69,99.5680089845,4506,6531
70,99.5661361075,4571,6531
71,99.5625158607,4637,6531
72,99.5620831464,4702,6531
73,99.7748056875,4767,6531
74,99.7822346341,4832,6531
75,99.7832183588,4898,6531
76,99.7825716799,4963,6531
77,99.7825501369,5028,6531
78,99.7826126745,5094,6531
79,99.7825810599,5159,6531
80,99.7826803014,5224,6531
81,99.7828282015,5290,6531
82,99.7815749342,5355,6531
83,99.780494183,5420,6531
84,99.8761467333,5486,6531
85,99.9993201575,5551,6531
86,100.001263132,5616,6531
87,100.000038291,5681,6531
88,99.9998752631,5747,6531
89,100.000011614,5812,6531
90,100.000012975,5877,6531
91,99.9999969139,5943,6531
92,99.9999970629,6008,6531
93,100.000005302,6073,6531
94,100.000011575,6139,6531
95,99.9999339142,6204,6531
96,99.9999021302,6269,6531
97,100.000725016,6335,6531
98,100.000146626,6400,6531
99,99.9893826695,6465,6531
