% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,11.538461538461538,9,981
2,23.076923076923077,19,981
3,30.76923076923077,29,981
4,36.53846153846153,39,981
5,42.30769230769231,49,981
6,46.15384615384615,58,981
7,50.0,68,981
8,51.92307692307693,78,981
9,55.769230769230774,88,981
10,59.61538461538461,98,981
11,59.61538461538461,107,981
12,61.53846153846154,117,981
13,69.23076923076923,127,981
14,69.23076923076923,137,981
15,69.23076923076923,147,981
16,75.0,156,981
17,75.0,166,981
18,76.92307692307693,176,981
19,80.76923076923077,186,981
20,80.76923076923077,196,981
21,84.61538461538461,206,981
22,84.61538461538461,215,981
23,88.46153846153845,225,981
24,92.3076923076923,235,981
25,94.23076923076923,245,981
26,94.23076923076923,255,981
27,96.15384615384616,264,981
28,98.07692307692307,274,981
29,98.07692307692307,284,981
30,98.07692307692307,294,981
31,98.07692307692307,304,981
32,98.07692307692307,313,981
33,98.07692307692307,323,981
34,98.07692307692307,333,981
35,98.07692307692307,343,981
36,98.07692307692307,353,981
37,98.07692307692307,362,981
38,98.07692307692307,372,981
39,98.07692307692307,382,981
40,100.0,392,981
41,100.0,402,981
42,100.0,412,981
43,100.0,421,981
44,100.0,431,981
45,100.0,441,981
46,100.0,451,981
47,100.0,461,981
48,100.0,470,981
49,100.0,480,981
50,100.0,490,981
51,100.0,500,981
52,100.0,510,981
53,100.0,519,981
54,100.0,529,981
55,100.0,539,981
56,100.0,549,981
57,100.0,559,981
58,100.0,568,981
59,100.0,578,981
60,100.0,588,981
61,100.0,598,981
62,100.0,608,981
63,100.0,618,981
64,100.0,627,981
65,100.0,637,981
66,100.0,647,981
67,100.0,657,981
68,100.0,667,981
69,100.0,676,981
70,100.0,686,981
71,100.0,696,981
72,100.0,706,981
73,100.0,716,981
74,100.0,725,981
75,100.0,735,981
76,100.0,745,981
77,100.0,755,981
78,100.0,765,981
79,100.0,774,981
80,100.0,784,981
81,100.0,794,981
82,100.0,804,981
83,100.0,814,981
84,100.0,824,981
85,100.0,833,981
86,100.0,843,981
87,100.0,853,981
88,100.0,863,981
89,100.0,873,981
90,100.0,882,981
91,100.0,892,981
92,100.0,902,981
93,100.0,912,981
94,100.0,922,981
95,100.0,931,981
96,100.0,941,981
97,100.0,951,981
98,100.0,961,981
99,100.0,971,981
