% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,6.666666666666667,109,10905
2,16.666666666666664,218,10905
3,20.0,327,10905
4,33.33333333333333,436,10905
5,43.333333333333336,545,10905
6,56.666666666666664,654,10905
7,60.0,763,10905
8,60.0,872,10905
9,70.0,981,10905
10,76.66666666666667,1090,10905
11,80.0,1199,10905
12,83.33333333333334,1308,10905
13,83.33333333333334,1417,10905
14,83.33333333333334,1526,10905
15,83.33333333333334,1635,10905
16,86.66666666666667,1744,10905
17,86.66666666666667,1853,10905
18,86.66666666666667,1962,10905
19,90.0,2071,10905
20,90.0,2181,10905
21,90.0,2290,10905
22,90.0,2399,10905
23,90.0,2508,10905
24,90.0,2617,10905
25,93.33333333333333,2726,10905
26,93.33333333333333,2835,10905
27,93.33333333333333,2944,10905
28,93.33333333333333,3053,10905
29,93.33333333333333,3162,10905
30,93.33333333333333,3271,10905
31,93.33333333333333,3380,10905
32,93.33333333333333,3489,10905
33,93.33333333333333,3598,10905
34,93.33333333333333,3707,10905
35,96.66666666666667,3816,10905
36,96.66666666666667,3925,10905
37,96.66666666666667,4034,10905
38,96.66666666666667,4143,10905
39,96.66666666666667,4252,10905
40,96.66666666666667,4362,10905
41,96.66666666666667,4471,10905
42,96.66666666666667,4580,10905
43,96.66666666666667,4689,10905
44,96.66666666666667,4798,10905
45,96.66666666666667,4907,10905
46,96.66666666666667,5016,10905
47,96.66666666666667,5125,10905
48,96.66666666666667,5234,10905
49,96.66666666666667,5343,10905
50,96.66666666666667,5452,10905
51,96.66666666666667,5561,10905
52,100.0,5670,10905
53,100.0,5779,10905
54,100.0,5888,10905
55,100.0,5997,10905
56,100.0,6106,10905
57,100.0,6215,10905
58,100.0,6324,10905
59,100.0,6433,10905
60,100.0,6543,10905
61,100.0,6652,10905
62,100.0,6761,10905
63,100.0,6870,10905
64,100.0,6979,10905
65,100.0,7088,10905
66,100.0,7197,10905
67,100.0,7306,10905
68,100.0,7415,10905
69,100.0,7524,10905
70,100.0,7633,10905
71,100.0,7742,10905
72,100.0,7851,10905
73,100.0,7960,10905
74,100.0,8069,10905
75,100.0,8178,10905
76,100.0,8287,10905
77,100.0,8396,10905
78,100.0,8505,10905
79,100.0,8614,10905
80,100.0,8724,10905
81,100.0,8833,10905
82,100.0,8942,10905
83,100.0,9051,10905
84,100.0,9160,10905
85,100.0,9269,10905
86,100.0,9378,10905
87,100.0,9487,10905
88,100.0,9596,10905
89,100.0,9705,10905
90,100.0,9814,10905
91,100.0,9923,10905
92,100.0,10032,10905
93,100.0,10141,10905
94,100.0,10250,10905
95,100.0,10359,10905
96,100.0,10468,10905
97,100.0,10577,10905
98,100.0,10686,10905
99,100.0,10795,10905
