% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,10.714285714285714,27,2785
2,19.642857142857142,55,2785
3,23.214285714285715,83,2785
4,26.785714285714285,111,2785
5,26.785714285714285,139,2785
6,28.57142857142857,167,2785
7,35.714285714285715,194,2785
8,37.5,222,2785
9,37.5,250,2785
10,39.285714285714285,278,2785
11,39.285714285714285,306,2785
12,44.642857142857146,334,2785
13,48.214285714285715,362,2785
14,48.214285714285715,389,2785
15,53.57142857142857,417,2785
16,58.92857142857143,445,2785
17,60.71428571428571,473,2785
18,62.5,501,2785
19,67.85714285714286,529,2785
20,69.64285714285714,557,2785
21,71.42857142857143,584,2785
22,71.42857142857143,612,2785
23,73.21428571428571,640,2785
24,75.0,668,2785
25,75.0,696,2785
26,75.0,724,2785
27,76.78571428571429,751,2785
28,78.57142857142857,779,2785
29,78.57142857142857,807,2785
30,80.35714285714286,835,2785
31,80.35714285714286,863,2785
32,80.35714285714286,891,2785
33,80.35714285714286,919,2785
34,82.14285714285714,946,2785
35,83.92857142857143,974,2785
36,83.92857142857143,1002,2785
37,85.71428571428571,1030,2785
38,85.71428571428571,1058,2785
39,85.71428571428571,1086,2785
40,89.28571428571429,1114,2785
41,89.28571428571429,1141,2785
42,89.28571428571429,1169,2785
43,89.28571428571429,1197,2785
44,89.28571428571429,1225,2785
45,89.28571428571429,1253,2785
46,89.28571428571429,1281,2785
47,89.28571428571429,1308,2785
48,89.28571428571429,1336,2785
49,89.28571428571429,1364,2785
50,89.28571428571429,1392,2785
51,89.28571428571429,1420,2785
52,91.07142857142857,1448,2785
53,91.07142857142857,1476,2785
54,91.07142857142857,1503,2785
55,92.85714285714286,1531,2785
56,94.64285714285714,1559,2785
57,94.64285714285714,1587,2785
58,94.64285714285714,1615,2785
59,94.64285714285714,1643,2785
60,96.42857142857143,1671,2785
61,98.21428571428571,1698,2785
62,98.21428571428571,1726,2785
63,98.21428571428571,1754,2785
64,98.21428571428571,1782,2785
65,98.21428571428571,1810,2785
66,98.21428571428571,1838,2785
67,98.21428571428571,1865,2785
68,98.21428571428571,1893,2785
69,98.21428571428571,1921,2785
70,98.21428571428571,1949,2785
71,98.21428571428571,1977,2785
72,100.0,2005,2785
73,100.0,2033,2785
74,100.0,2060,2785
75,100.0,2088,2785
76,100.0,2116,2785
77,100.0,2144,2785
78,100.0,2172,2785
79,100.0,2200,2785
80,100.0,2228,2785
81,100.0,2255,2785
82,100.0,2283,2785
83,100.0,2311,2785
84,100.0,2339,2785
85,100.0,2367,2785
86,100.0,2395,2785
87,100.0,2422,2785
88,100.0,2450,2785
89,100.0,2478,2785
90,100.0,2506,2785
91,100.0,2534,2785
92,100.0,2562,2785
93,100.0,2590,2785
94,100.0,2617,2785
95,100.0,2645,2785
96,100.0,2673,2785
97,100.0,2701,2785
98,100.0,2729,2785
99,100.0,2757,2785
