% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,4.040404040404041,52,5220
2,9.090909090909092,104,5220
3,11.11111111111111,156,5220
4,13.131313131313133,208,5220
5,15.151515151515152,261,5220
6,18.181818181818183,313,5220
7,20.2020202020202,365,5220
8,23.232323232323232,417,5220
9,23.232323232323232,469,5220
10,25.252525252525253,522,5220
11,26.262626262626267,574,5220
12,30.303030303030305,626,5220
13,33.33333333333333,678,5220
14,38.38383838383838,730,5220
15,40.4040404040404,783,5220
16,42.42424242424242,835,5220
17,43.43434343434344,887,5220
18,45.45454545454545,939,5220
19,46.464646464646464,991,5220
20,49.494949494949495,1044,5220
21,50.505050505050505,1096,5220
22,50.505050505050505,1148,5220
23,54.54545454545454,1200,5220
24,54.54545454545454,1252,5220
25,54.54545454545454,1305,5220
26,55.55555555555556,1357,5220
27,58.58585858585859,1409,5220
28,60.60606060606061,1461,5220
29,63.63636363636363,1513,5220
30,64.64646464646465,1566,5220
31,65.65656565656566,1618,5220
32,67.67676767676768,1670,5220
33,68.68686868686868,1722,5220
34,70.70707070707071,1774,5220
35,71.71717171717171,1827,5220
36,72.72727272727273,1879,5220
37,72.72727272727273,1931,5220
38,73.73737373737373,1983,5220
39,76.76767676767676,2035,5220
40,76.76767676767676,2088,5220
41,77.77777777777779,2140,5220
42,79.7979797979798,2192,5220
43,80.8080808080808,2244,5220
44,80.8080808080808,2296,5220
45,82.82828282828282,2349,5220
46,83.83838383838383,2401,5220
47,83.83838383838383,2453,5220
48,84.84848484848484,2505,5220
49,85.85858585858585,2557,5220
50,85.85858585858585,2610,5220
51,85.85858585858585,2662,5220
52,86.86868686868688,2714,5220
53,86.86868686868688,2766,5220
54,87.87878787878788,2818,5220
55,87.87878787878788,2871,5220
56,88.88888888888889,2923,5220
57,89.8989898989899,2975,5220
58,90.9090909090909,3027,5220
59,90.9090909090909,3079,5220
60,91.91919191919192,3132,5220
61,91.91919191919192,3184,5220
62,91.91919191919192,3236,5220
63,92.92929292929293,3288,5220
64,93.93939393939394,3340,5220
65,94.94949494949495,3393,5220
66,94.94949494949495,3445,5220
67,95.95959595959596,3497,5220
68,95.95959595959596,3549,5220
69,95.95959595959596,3601,5220
70,96.96969696969697,3654,5220
71,98.98989898989899,3706,5220
72,98.98989898989899,3758,5220
73,98.98989898989899,3810,5220
74,100.0,3862,5220
75,100.0,3915,5220
76,100.0,3967,5220
77,100.0,4019,5220
78,100.0,4071,5220
79,100.0,4123,5220
80,100.0,4176,5220
81,100.0,4228,5220
82,100.0,4280,5220
83,100.0,4332,5220
84,100.0,4384,5220
85,100.0,4437,5220
86,100.0,4489,5220
87,100.0,4541,5220
88,100.0,4593,5220
89,100.0,4645,5220
90,100.0,4698,5220
91,100.0,4750,5220
92,100.0,4802,5220
93,100.0,4854,5220
94,100.0,4906,5220
95,100.0,4959,5220
96,100.0,5011,5220
97,100.0,5063,5220
98,100.0,5115,5220
99,100.0,5167,5220
