% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,33.33333333333333,103,10317
2,33.33333333333333,206,10317
3,33.33333333333333,309,10317
4,33.33333333333333,412,10317
5,33.33333333333333,515,10317
6,33.33333333333333,619,10317
7,33.33333333333333,722,10317
8,66.66666666666666,825,10317
9,66.66666666666666,928,10317
10,66.66666666666666,1031,10317
11,100.0,1134,10317
12,100.0,1238,10317
13,100.0,1341,10317
14,100.0,1444,10317
15,100.0,1547,10317
16,100.0,1650,10317
17,100.0,1753,10317
18,100.0,1857,10317
19,100.0,1960,10317
20,100.0,2063,10317
21,100.0,2166,10317
22,100.0,2269,10317
23,100.0,2372,10317
24,100.0,2476,10317
25,100.0,2579,10317
26,100.0,2682,10317
27,100.0,2785,10317
28,100.0,2888,10317
29,100.0,2991,10317
30,100.0,3095,10317
31,100.0,3198,10317
32,100.0,3301,10317
33,100.0,3404,10317
34,100.0,3507,10317
35,100.0,3610,10317
36,100.0,3714,10317
37,100.0,3817,10317
38,100.0,3920,10317
39,100.0,4023,10317
40,100.0,4126,10317
41,100.0,4229,10317
42,100.0,4333,10317
43,100.0,4436,10317
44,100.0,4539,10317
45,100.0,4642,10317
46,100.0,4745,10317
47,100.0,4848,10317
48,100.0,4952,10317
49,100.0,5055,10317
50,100.0,5158,10317
51,100.0,5261,10317
52,100.0,5364,10317
53,100.0,5468,10317
54,100.0,5571,10317
55,100.0,5674,10317
56,100.0,5777,10317
57,100.0,5880,10317
58,100.0,5983,10317
59,100.0,6087,10317
60,100.0,6190,10317
61,100.0,6293,10317
62,100.0,6396,10317
63,100.0,6499,10317
64,100.0,6602,10317
65,100.0,6706,10317
66,100.0,6809,10317
67,100.0,6912,10317
68,100.0,7015,10317
69,100.0,7118,10317
70,100.0,7221,10317
71,100.0,7325,10317
72,100.0,7428,10317
73,100.0,7531,10317
74,100.0,7634,10317
75,100.0,7737,10317
76,100.0,7840,10317
77,100.0,7944,10317
78,100.0,8047,10317
79,100.0,8150,10317
80,100.0,8253,10317
81,100.0,8356,10317
82,100.0,8459,10317
83,100.0,8563,10317
84,100.0,8666,10317
85,100.0,8769,10317
86,100.0,8872,10317
87,100.0,8975,10317
88,100.0,9078,10317
89,100.0,9182,10317
90,100.0,9285,10317
91,100.0,9388,10317
92,100.0,9491,10317
93,100.0,9594,10317
94,100.0,9697,10317
95,100.0,9801,10317
96,100.0,9904,10317
97,100.0,10007,10317
98,100.0,10110,10317
99,100.0,10213,10317
