% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,8.333333333333332,0,64
2,16.666666666666664,1,64
3,16.666666666666664,1,64
4,16.666666666666664,2,64
5,16.666666666666664,3,64
6,16.666666666666664,3,64
7,16.666666666666664,4,64
8,16.666666666666664,5,64
9,16.666666666666664,5,64
10,25.0,6,64
11,25.0,7,64
12,25.0,7,64
13,25.0,8,64
14,25.0,8,64
15,25.0,9,64
16,33.33333333333333,10,64
17,33.33333333333333,10,64
18,33.33333333333333,11,64
19,33.33333333333333,12,64
20,33.33333333333333,12,64
21,41.66666666666667,13,64
22,41.66666666666667,14,64
23,41.66666666666667,14,64
24,41.66666666666667,15,64
25,41.66666666666667,16,64
26,41.66666666666667,16,64
27,41.66666666666667,17,64
28,41.66666666666667,17,64
29,41.66666666666667,18,64
30,50.0,19,64
31,50.0,19,64
32,50.0,20,64
33,58.333333333333336,21,64
34,58.333333333333336,21,64
35,66.66666666666666,22,64
36,66.66666666666666,23,64
37,66.66666666666666,23,64
38,66.66666666666666,24,64
39,66.66666666666666,24,64
40,75.0,25,64
41,75.0,26,64
42,75.0,26,64
43,75.0,27,64
44,75.0,28,64
45,75.0,28,64
46,75.0,29,64
47,75.0,30,64
48,75.0,30,64
49,83.33333333333334,31,64
50,91.66666666666666,32,64
51,91.66666666666666,32,64
52,91.66666666666666,33,64
53,91.66666666666666,33,64
54,91.66666666666666,34,64
55,91.66666666666666,35,64
56,91.66666666666666,35,64
57,91.66666666666666,36,64
58,91.66666666666666,37,64
59,91.66666666666666,37,64
60,91.66666666666666,38,64
61,91.66666666666666,39,64
62,91.66666666666666,39,64
63,91.66666666666666,40,64
64,91.66666666666666,40,64
65,91.66666666666666,41,64
66,91.66666666666666,42,64
67,91.66666666666666,42,64
68,100.0,43,64
69,100.0,44,64
70,100.0,44,64
71,100.0,45,64
72,100.0,46,64
73,100.0,46,64
74,100.0,47,64
75,100.0,48,64
76,100.0,48,64
77,100.0,49,64
78,100.0,49,64
79,100.0,50,64
80,100.0,51,64
81,100.0,51,64
82,100.0,52,64
83,100.0,53,64
84,100.0,53,64
85,100.0,54,64
86,100.0,55,64
87,100.0,55,64
88,100.0,56,64
89,100.0,56,64
90,100.0,57,64
91,100.0,58,64
92,100.0,58,64
93,100.0,59,64
94,100.0,60,64
95,100.0,60,64
96,100.0,61,64
97,100.0,62,64
98,100.0,62,64
99,100.0,63,64
