% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,33.33333333333333,64,6455
2,54.347826086956516,129,6455
3,65.94202898550725,193,6455
4,68.84057971014492,258,6455
5,74.63768115942028,322,6455
6,77.53623188405797,387,6455
7,79.71014492753623,451,6455
8,82.6086956521739,516,6455
9,84.78260869565217,580,6455
10,84.78260869565217,645,6455
11,84.78260869565217,710,6455
12,86.23188405797102,774,6455
13,86.23188405797102,839,6455
14,86.23188405797102,903,6455
15,86.23188405797102,968,6455
16,87.68115942028986,1032,6455
17,89.85507246376811,1097,6455
18,89.85507246376811,1161,6455
19,89.85507246376811,1226,6455
20,89.85507246376811,1291,6455
21,89.85507246376811,1355,6455
22,89.85507246376811,1420,6455
23,91.30434782608695,1484,6455
24,92.02898550724638,1549,6455
25,93.47826086956522,1613,6455
26,93.47826086956522,1678,6455
27,93.47826086956522,1742,6455
28,93.47826086956522,1807,6455
29,93.47826086956522,1871,6455
30,93.47826086956522,1936,6455
31,93.47826086956522,2001,6455
32,94.92753623188406,2065,6455
33,94.92753623188406,2130,6455
34,95.65217391304348,2194,6455
35,96.37681159420289,2259,6455
36,96.37681159420289,2323,6455
37,96.37681159420289,2388,6455
38,97.10144927536231,2452,6455
39,97.10144927536231,2517,6455
40,97.82608695652173,2582,6455
41,97.82608695652173,2646,6455
42,97.82608695652173,2711,6455
43,97.82608695652173,2775,6455
44,97.82608695652173,2840,6455
45,98.55072463768117,2904,6455
46,98.55072463768117,2969,6455
47,98.55072463768117,3033,6455
48,98.55072463768117,3098,6455
49,98.55072463768117,3162,6455
50,98.55072463768117,3227,6455
51,98.55072463768117,3292,6455
52,99.27536231884058,3356,6455
53,99.27536231884058,3421,6455
54,99.27536231884058,3485,6455
55,99.27536231884058,3550,6455
56,100.0,3614,6455
57,100.0,3679,6455
58,100.0,3743,6455
59,100.0,3808,6455
60,100.0,3873,6455
61,100.0,3937,6455
62,100.0,4002,6455
63,100.0,4066,6455
64,100.0,4131,6455
65,100.0,4195,6455
66,100.0,4260,6455
67,100.0,4324,6455
68,100.0,4389,6455
69,100.0,4453,6455
70,100.0,4518,6455
71,100.0,4583,6455
72,100.0,4647,6455
73,100.0,4712,6455
74,100.0,4776,6455
75,100.0,4841,6455
76,100.0,4905,6455
77,100.0,4970,6455
78,100.0,5034,6455
79,100.0,5099,6455
80,100.0,5164,6455
81,100.0,5228,6455
82,100.0,5293,6455
83,100.0,5357,6455
84,100.0,5422,6455
85,100.0,5486,6455
86,100.0,5551,6455
87,100.0,5615,6455
88,100.0,5680,6455
89,100.0,5744,6455
90,100.0,5809,6455
91,100.0,5874,6455
92,100.0,5938,6455
93,100.0,6003,6455
94,100.0,6067,6455
95,100.0,6132,6455
96,100.0,6196,6455
97,100.0,6261,6455
98,100.0,6325,6455
99,100.0,6390,6455
