% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,16.0,22,2248
2,20.0,44,2248
3,36.0,67,2248
4,44.0,89,2248
5,44.0,112,2248
6,44.0,134,2248
7,44.0,157,2248
8,48.0,179,2248
9,56.00000000000001,202,2248
10,56.00000000000001,224,2248
11,56.00000000000001,247,2248
12,64.0,269,2248
13,64.0,292,2248
14,72.0,314,2248
15,72.0,337,2248
16,72.0,359,2248
17,76.0,382,2248
18,76.0,404,2248
19,76.0,427,2248
20,76.0,449,2248
21,80.0,472,2248
22,84.0,494,2248
23,84.0,517,2248
24,84.0,539,2248
25,88.0,562,2248
26,88.0,584,2248
27,88.0,606,2248
28,92.0,629,2248
29,92.0,651,2248
30,92.0,674,2248
31,92.0,696,2248
32,92.0,719,2248
33,96.0,741,2248
34,96.0,764,2248
35,96.0,786,2248
36,96.0,809,2248
37,96.0,831,2248
38,96.0,854,2248
39,96.0,876,2248
40,96.0,899,2248
41,96.0,921,2248
42,96.0,944,2248
43,96.0,966,2248
44,96.0,989,2248
45,96.0,1011,2248
46,96.0,1034,2248
47,96.0,1056,2248
48,96.0,1079,2248
49,96.0,1101,2248
50,96.0,1124,2248
51,96.0,1146,2248
52,96.0,1168,2248
53,96.0,1191,2248
54,96.0,1213,2248
55,96.0,1236,2248
56,96.0,1258,2248
57,96.0,1281,2248
58,96.0,1303,2248
59,96.0,1326,2248
60,96.0,1348,2248
61,96.0,1371,2248
62,100.0,1393,2248
63,100.0,1416,2248
64,100.0,1438,2248
65,100.0,1461,2248
66,100.0,1483,2248
67,100.0,1506,2248
68,100.0,1528,2248
69,100.0,1551,2248
70,100.0,1573,2248
71,100.0,1596,2248
72,100.0,1618,2248
73,100.0,1641,2248
74,100.0,1663,2248
75,100.0,1686,2248
76,100.0,1708,2248
77,100.0,1730,2248
78,100.0,1753,2248
79,100.0,1775,2248
80,100.0,1798,2248
81,100.0,1820,2248
82,100.0,1843,2248
83,100.0,1865,2248
84,100.0,1888,2248
85,100.0,1910,2248
86,100.0,1933,2248
87,100.0,1955,2248
88,100.0,1978,2248
89,100.0,2000,2248
90,100.0,2023,2248
91,100.0,2045,2248
92,100.0,2068,2248
93,100.0,2090,2248
94,100.0,2113,2248
95,100.0,2135,2248
96,100.0,2158,2248
97,100.0,2180,2248
98,100.0,2203,2248
99,100.0,2225,2248
