% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,0.0,6,626
2,0.0,12,626
3,0.0,18,626
4,50.0,25,626
5,50.0,31,626
6,50.0,37,626
7,50.0,43,626
8,50.0,50,626
9,50.0,56,626
10,50.0,62,626
11,50.0,68,626
12,50.0,75,626
13,50.0,81,626
14,50.0,87,626
15,50.0,93,626
16,50.0,100,626
17,50.0,106,626
18,50.0,112,626
19,50.0,118,626
20,50.0,125,626
21,50.0,131,626
22,50.0,137,626
23,50.0,143,626
24,50.0,150,626
25,50.0,156,626
26,50.0,162,626
27,50.0,169,626
28,50.0,175,626
29,50.0,181,626
30,100.0,187,626
31,100.0,194,626
32,100.0,200,626
33,100.0,206,626
34,100.0,212,626
35,100.0,219,626
36,100.0,225,626
37,100.0,231,626
38,100.0,237,626
39,100.0,244,626
40,100.0,250,626
41,100.0,256,626
42,100.0,262,626
43,100.0,269,626
44,100.0,275,626
45,100.0,281,626
46,100.0,287,626
47,100.0,294,626
48,100.0,300,626
49,100.0,306,626
50,100.0,313,626
51,100.0,319,626
52,100.0,325,626
53,100.0,331,626
54,100.0,338,626
55,100.0,344,626
56,100.0,350,626
57,100.0,356,626
58,100.0,363,626
59,100.0,369,626
60,100.0,375,626
61,100.0,381,626
62,100.0,388,626
63,100.0,394,626
64,100.0,400,626
65,100.0,406,626
66,100.0,413,626
67,100.0,419,626
68,100.0,425,626
69,100.0,431,626
70,100.0,438,626
71,100.0,444,626
72,100.0,450,626
73,100.0,456,626
74,100.0,463,626
75,100.0,469,626
76,100.0,475,626
77,100.0,482,626
78,100.0,488,626
79,100.0,494,626
80,100.0,500,626
81,100.0,507,626
82,100.0,513,626
83,100.0,519,626
84,100.0,525,626
85,100.0,532,626
86,100.0,538,626
87,100.0,544,626
88,100.0,550,626
89,100.0,557,626
90,100.0,563,626
91,100.0,569,626
92,100.0,575,626
93,100.0,582,626
94,100.0,588,626
95,100.0,594,626
96,100.0,600,626
97,100.0,607,626
98,100.0,613,626
99,100.0,619,626
