recall,above 50,effort
0.25,False,0.0101253616201
0.6923076923076923,True,0.378350515464
0.25,False,0.125
0.6222222222222222,True,0.0720472066242
0.45454545454545453,False,0.185632183908
0.5584415584415584,True,0.0986093552465
0.5760869565217391,True,0.140557275542
0.44,False,0.0747330960854
0.4423076923076923,False,0.0808909730363
0.5,False,0.114076399791
0.5217391304347826,True,0.0184353214562
0.625,True,0.18671454219
0.7,True,0.526876513317
0.5152173913043478,True,0.13887612923
0.5384615384615384,True,0.085626911315
0.43478260869565216,False,0.162875341219
0.48148148148148145,False,0.0600545950864
0.5526315789473685,True,0.176934488951
0.5,False,0.290734824281
0.5,False,0.183908045977
0.25,False,0.0
0.5555555555555556,True,0.0504873781555
0.43478260869565216,False,0.201754385965
0.574468085106383,True,0.129746835443
0.45454545454545453,False,0.186721991701
0.4,False,0.0475928473177
0.14285714285714285,False,0.0
0.3333333333333333,False,0.0828402366864
0.5693069306930693,True,0.101729212656
0.0,False,9.69274013764e-05

0.46233581388193734,0.43333333333333335,0.130400963189
