recall,above 70,effort,number of docs,number of relevant
0.8333333333333334,True,0.398875502008,2075,24
0.7692307692307693,True,0.455544112599,971,26
0.8333333333333334,True,0.45641025641,65,12
0.6767676767676768,False,0.357083572751,5221,99
0.7792207792207793,True,0.431818181818,792,77
0.7282608695652174,True,0.417079207921,1616,92
0.6,False,0.352008299985,2249,25
0.625,False,0.360794820272,5972,104
0.5869565217391305,False,0.360181311018,1912,46
0.6666666666666666,False,0.351610904585,6456,138
0.48214285714285715,False,0.362048336923,2786,56
0.6847826086956522,False,0.425086752398,6532,460
0.7115384615384616,True,0.397827562797,982,52
0.6111111111111112,False,0.354924793789,5496,54
0.6666666666666666,False,0.389704351447,12808,114
0.75,True,0.591212989494,349,20
0.7555555555555555,True,0.359656795368,8003,45
0.6956521739130435,False,0.43768115942,115,23
0.6382978723404256,False,0.438485804416,317,47
0.8181818181818182,True,0.388429752066,242,11
0.7142857142857143,True,0.424561403509,95,7
0.6666666666666666,False,0.41568627451,170,6
0.698019801980198,False,0.381342162543,10873,202

0.6952900546928293,0.43478260869565216,0.404698013393
