recall,above 70,effort,number of docs,number of relevant
0.5384615384615384,False,0.433676975945,970,26
0.7171717171717171,True,0.594969035306,5221,99
0.5974025974025974,False,0.496632996633,792,77
0.6956521739130435,False,0.646452145215,1616,92
0.8,True,0.567423230975,2247,25
0.6739130434782609,False,0.535321821036,1911,46
0.6521739130434783,False,0.427612556795,6456,138
0.7321428571428571,True,0.632926537449,2786,56
0.6565217391304348,False,0.454582567871,6532,460
0.6346153846153846,False,0.551478083588,981,52
0.5185185185185185,False,0.485256643611,5494,54
0.5777777777777777,False,0.630629504645,8001,45
0.0,False,0.333333333333,115,23
0.0,False,0.333333333333,170,6
0.5792079207920792,False,0.676325391715,10871,202

0.5582372787631791,0.2,0.51999694383
