recall,above 70,effort,number of docs,number of relevant
0.625,False,0.395341365462,2075,24
0.8076923076923077,True,0.719189838654,971,26
0.4166666666666667,False,0.466666666667,65,12
0.8,True,0.420949118132,10508,45
0.6565656565656566,False,0.540445636213,5221,99
0.7142857142857143,True,0.453703703704,792,77
0.7391304347826086,True,0.502887788779,1616,92
0.64,False,0.419593893582,2249,25
0.6153846153846154,False,0.424313462827,5972,104
0.782608695652174,True,0.456415620642,1912,46
0.6739130434782609,False,0.356567534077,6456,138
0.8571428571428571,True,0.589136156975,2786,56
0.0,False,0.333333333333,2066,10
0.7282608695652174,True,0.492753623188,6532,460
0.7307692307692307,True,0.437202987101,982,52
0.6666666666666666,False,0.409995147986,5496,54
0.7719298245614035,True,0.544034978139,12808,114
1.0,True,0.620414673046,627,2
0.6,False,0.602674307545,349,20
0.7777777777777778,True,0.399891707276,8003,45
0.6521739130434783,False,0.542028985507,115,23
0.7872340425531915,True,0.488958990536,317,47
0.6363636363636364,False,0.517906336088,242,11
0.7142857142857143,True,0.522807017544,95,7
0.5,False,0.411764705882,170,6
0.7227722772277227,True,0.453815261044,10873,202

0.677562459402496,0.5384615384615384,0.481645878459
