recall,above 70,effort,number of docs,number of relevant
0.7916666666666666,True,0.452208835341,2075,24
0.6153846153846154,False,0.441812564367,971,26
0.75,True,0.425641025641,65,12
0.6888888888888889,False,0.341073467834,10508,45
0.7676767676767676,True,0.364617250846,5221,99
0.7402597402597403,True,0.443602693603,792,77
0.7282608695652174,True,0.421617161716,1616,92
0.76,True,0.388765377205,2249,25
0.6634615384615384,False,0.356552801965,5972,104
0.717391304347826,True,0.387377963738,1912,46
0.7101449275362319,True,0.354502271789,6456,138
0.7678571428571429,True,0.393395549174,2786,56
0.9,True,0.366569861246,2066,10
0.6804347826086956,False,0.420085731782,6532,460
0.7115384615384616,True,0.393075356415,982,52
0.6296296296296297,False,0.352134885978,5496,54
0.6140350877192983,False,0.373737373737,12804,114
0.5,False,0.345029239766,627,2
0.9,True,0.663801337154,349,20
0.75,True,0.354087251165,1574,4
0.7555555555555555,True,0.36315548336,8003,45
0.7391304347826086,True,0.431884057971,115,23
0.7021276595744681,True,0.434279705573,317,47
0.8181818181818182,True,0.37741046832,242,11
0.8571428571428571,True,0.59298245614,95,7
0.8333333333333334,True,0.466666666667,170,6
0.6584158415841584,False,0.370796161746,10873,202

0.73150066382576,0.7037037037037037,0.410254185194
